Date;Horaire;Distance;
28/09/2021;11:02:31;3.451763;
28/09/2021;11:02:33;3.451452;
28/09/2021;11:02:34;3.45038;
28/09/2021;11:02:36;3.45129;
28/09/2021;11:02:37;3.452114;
28/09/2021;11:02:38;3.451936;
28/09/2021;11:02:40;3.453859;
28/09/2021;11:02:41;3.453771;
28/09/2021;11:02:42;3.451426;
28/09/2021;11:02:44;3.451126;
28/09/2021;11:02:45;3.455541;
28/09/2021;11:02:46;3.454008;
28/09/2021;11:02:48;3.451432;
28/09/2021;11:02:49;3.455828;
28/09/2021;11:02:50;3.456894;
28/09/2021;11:02:52;3.45733;
28/09/2021;11:02:53;3.45375;
28/09/2021;11:02:55;3.454692;
28/09/2021;11:02:56;3.452636;
28/09/2021;11:02:57;3.454499;
28/09/2021;11:02:59;3.454534;
28/09/2021;11:03:00;3.451316;
28/09/2021;11:03:01;3.452933;
28/09/2021;11:03:03;3.453354;
28/09/2021;11:03:04;3.452066;
28/09/2021;11:03:05;3.453108;
28/09/2021;11:03:07;3.452236;
28/09/2021;11:03:08;3.454741;
28/09/2021;11:03:10;3.457845;
28/09/2021;11:03:11;3.456017;
28/09/2021;11:03:12;3.453687;
28/09/2021;11:03:14;3.452328;
28/09/2021;11:03:15;3.455223;
28/09/2021;11:03:16;3.452309;
28/09/2021;11:03:18;3.453431;
28/09/2021;11:03:19;3.452257;
28/09/2021;11:03:20;3.452039;
28/09/2021;11:03:22;3.454452;
28/09/2021;11:03:23;3.453451;
28/09/2021;11:03:25;3.450505;
28/09/2021;11:03:26;3.44892;
28/09/2021;11:03:27;3.450098;
28/09/2021;11:03:29;3.44903;
28/09/2021;11:03:30;3.450395;
28/09/2021;11:03:31;3.449434;
28/09/2021;11:03:33;3.449961;
28/09/2021;11:03:34;3.449279;
28/09/2021;11:03:36;3.455755;
28/09/2021;11:03:37;3.454735;
28/09/2021;11:03:38;3.452415;
28/09/2021;11:03:40;3.454827;
28/09/2021;11:03:41;3.452689;
28/09/2021;11:03:42;3.453766;
28/09/2021;11:03:44;3.454428;
28/09/2021;11:03:45;3.453462;
28/09/2021;11:03:46;3.453797;
28/09/2021;11:03:48;3.453015;
28/09/2021;11:03:49;3.454014;
28/09/2021;11:03:50;3.455174;
28/09/2021;11:03:52;3.452418;
28/09/2021;11:03:53;3.454594;
28/09/2021;11:03:54;3.454516;
28/09/2021;11:03:56;3.45358;
28/09/2021;11:03:57;3.454473;
28/09/2021;11:03:58;3.453329;
28/09/2021;11:04:00;3.455526;
28/09/2021;11:04:01;3.456202;
28/09/2021;11:04:03;3.453818;
28/09/2021;11:04:04;3.459871;
28/09/2021;11:04:05;3.461861;
28/09/2021;11:04:07;3.459074;
28/09/2021;11:04:08;3.458705;
28/09/2021;11:04:09;3.458532;
28/09/2021;11:04:11;3.46031;
28/09/2021;11:04:12;3.459148;
28/09/2021;11:04:14;3.460238;
28/09/2021;11:04:15;3.461216;
28/09/2021;11:04:16;3.460834;
28/09/2021;11:04:18;3.463066;
28/09/2021;11:04:19;3.46071;
28/09/2021;11:04:20;3.460819;
28/09/2021;11:04:22;3.463179;
28/09/2021;11:04:23;3.460261;
28/09/2021;11:04:25;3.45913;
28/09/2021;11:04:26;3.461911;
28/09/2021;11:04:27;3.463252;
28/09/2021;11:04:29;3.463166;
28/09/2021;11:04:30;3.466659;
28/09/2021;11:04:31;3.463384;
28/09/2021;11:04:33;3.464412;
28/09/2021;11:04:34;3.471245;
28/09/2021;11:04:35;3.468821;
28/09/2021;11:04:37;3.466514;
28/09/2021;11:04:38;3.474134;
28/09/2021;11:04:40;3.475815;
28/09/2021;11:04:41;3.472388;
28/09/2021;11:04:42;3.470989;
28/09/2021;11:04:44;3.466388;
28/09/2021;11:04:45;3.472199;
28/09/2021;11:04:46;3.47108;
28/09/2021;11:04:48;3.469097;
28/09/2021;11:04:49;3.46824;
28/09/2021;11:04:50;3.475626;
28/09/2021;11:04:52;3.471509;
28/09/2021;11:04:53;3.467061;
28/09/2021;11:04:54;3.468673;
28/09/2021;11:04:56;3.467211;
28/09/2021;11:04:57;3.464688;
28/09/2021;11:04:58;3.462958;
28/09/2021;11:05:00;3.458955;
28/09/2021;11:05:01;3.458736;
28/09/2021;11:05:03;3.459617;
28/09/2021;11:05:04;3.456993;
28/09/2021;11:05:05;3.456895;
28/09/2021;11:05:07;3.455595;
28/09/2021;11:05:08;3.457685;
28/09/2021;11:05:09;3.455366;
28/09/2021;11:05:11;3.455088;
28/09/2021;11:05:12;3.456313;
28/09/2021;11:05:14;3.455452;
28/09/2021;11:05:15;3.452851;
28/09/2021;11:05:16;3.453888;
28/09/2021;11:05:18;3.455527;
28/09/2021;11:05:19;3.455387;
28/09/2021;11:05:20;3.457832;
28/09/2021;11:05:22;3.456543;
28/09/2021;11:05:23;3.459748;
28/09/2021;11:05:25;3.457773;
28/09/2021;11:05:26;3.456057;
28/09/2021;11:05:27;3.459356;
28/09/2021;11:05:29;3.459636;
28/09/2021;11:05:30;3.455525;
28/09/2021;11:05:31;3.457498;
28/09/2021;11:05:33;3.462103;
28/09/2021;11:05:34;3.45873;
28/09/2021;11:05:35;3.461863;
28/09/2021;11:05:37;3.463658;
28/09/2021;11:05:38;3.46126;
28/09/2021;11:05:40;3.46422;
28/09/2021;11:05:41;3.464258;
28/09/2021;11:05:42;3.461954;
28/09/2021;11:05:44;3.459981;
28/09/2021;11:05:45;3.461589;
28/09/2021;11:05:46;3.465273;
28/09/2021;11:05:48;3.467962;
28/09/2021;11:05:49;3.469412;
28/09/2021;11:05:50;3.46761;
28/09/2021;11:05:52;3.465026;
28/09/2021;11:05:53;3.465074;
28/09/2021;11:05:55;3.46277;
28/09/2021;11:05:56;3.466034;
28/09/2021;11:05:57;3.465513;
